codigo_departamento;nombre_departamento;codigo_municipio;nombre_municipio;codigo_postal;tipo;limite_norte;limite_sur;limite_este;limite_oeste;longitud_centroide;latitud_centroide;barrios_contenidos_en_el_codigo_postal;veredas_contenidas_en_el_codigo_postal
76;VALLE DEL CAUCA;76895;ZARZAL;762,520;Urbano;CL 20;LIMITE URBANO;KR 0;KR 21;-76-071443100179;4-39056242292406;Bolívar- Ciudad Jardín- El Placer- El Quindío- Gonzalo Echeverry- Guamal- La Esperanza- La Inmaculada- La Valvanera- Las Mercedes- Libraida- Pama- Quinto Centenario- San Rafael- Sector Central- Urbanización Ana María- Urbanización Los Almendros- Urbanizac;Sin Informacion de Veredas
15;BOYACA;15790;TASCO;151,660;Urbano;CL 11;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;-72-7811616433936;5-9099626039461;Sin Informacion de Barrios;Centro
23;CORDOBA;23001;MONTERIA;230,019;Rural;VÍA SAN ANTERITO-SAN ISIDRO;MUNICIPIO TIERRALTA;M. P. RICA Y VÍA SAN ANTE.-LA MANTA;RÍO SINÚ;-75-8847617948969;8-40533092267611;Sin Informacion de Barrios;Corea- El Corozo-  El Cucaro-  El León Abajo-  Ensenada de Hamaca-  La Esperancita-  La Esperanza-  La Florida-  La Poza-  León Medio-  Los Pegados-  Maracayo-  Nueva Lucía-  Punto Fijo-  Salamina-  San Anterito-  San Isidro
19;CAUCA;19318;GUAPI;196,009;Rural;M. TIMBIQUÍ Y OCEANO PACIFICO;RÍO (PERMANENTE);Q/DA. GUARE Y RÍO GUAPI;MPIO. SANTA BARBARA;-77-8264618924496;2-58110734744042;Sin Informacion de Barrios;Sin Informacion de Veredas
11;BOGOTA- D.C.;11001;LOCALIDAD ENGATIVA;111,071;Urbano;AC 66A-  AK 72  Y  AC 63;AC  26;AK  72-  AC 63  Y  AK 68;TV 93-  AC 63  Y  AK 96;-74-1089417982905;4-67557863295826;El Encanto- El Real- Jardín Botánico- Los Álamos- Normandía- Normandía Occidental- San Ignacio- Santa Cecilia- Villa Luz;Sin Informacion de Veredas
18;CAQUETA;18001;FLORENCIA;180,008;Rural;RIO BRAVO;RIO HACHA;MUNICIPIO LA MONTAÑITA;RIO BRAVO;-75-4702410998532;1-77704218374328;Sin Informacion de Barrios;Sin Informacion de Veredas
73;TOLIMA;73268;ESPINAL;733,527;Rural;MPIO. COELLO Y FLANDES;LIMITE URBANO;M. FLANDES Y VÍA ESPINAL-GIRARDOT;VÍA ESPINAL-CHICORAL;-74-9053965099748;4-19979797767064;Sin Informacion de Barrios;Agua Blanca Alta- Agua Blanca Baja Sector de La Du-  Agua Blanca Baja Sector de La Morena-  Cabecera Municipal-  Camala-  Dindalito Centro-  Dindalito Sector Sena-  Guayabal-  Las Delicias-  Montalvo-  Paladeros-  Patio Bonito-  Puerta Blanca - Camala-  R
76;VALLE DEL CAUCA;76126;CALIMA;760,538;Rural;M. EL LITORAL DEL SAN JUAN;M. DAGUA Y BUENAVENTURA;RÍO BRAVO Y (PERMANENTE);MPIO. BUENAVENTURA;-76-7127532583013;3-94831444860591;Sin Informacion de Barrios;Sin Informacion de Veredas
5;ANTIOQUIA;05206;CONCEPCION;53,810;Urbano;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;KR 22;-75-257585117103;6-39417060725287;Sin Informacion de Barrios;Sin Informacion de Veredas
76;VALLE DEL CAUCA;76001;CALI;760,024;Urbano;KR  41B;KR  80;CL  42 Y 48;CL 25 Y AC ORIENTAL;-76-5158257015614;3-403426459787;Brisas del Limonar- Ciudad 2000- La Alborada- Mariano Ramos- República de Israel- Unión de Vivieda Popular;Sin Informacion de Veredas
47;MAGDALENA;47692;SAN SEBASTIAN DE BUENAVISTA;473,008;Rural;MUNICIPIO SAN ZENÓN;MPIO. SAN FERNANDO Y GUAMAL;RÍO (PERMANENTE);MUNICIPIO MOMPOS;-74-2963200955226;9-26994140865042;Sin Informacion de Barrios;Los Galvis
94;GUAINIA;94887;PANA PANA;943,019;Rural;MUNICIPIO MORICHAL;RÍO ISANA Y PAÍS BRASIL;Q/DA. PACÚ Y RÍO (PERMANENTE);MUNICIPIO PAPUNAUA;-69-8477284611002;1-8632257274902;Sin Informacion de Barrios;Sin Informacion de Veredas
97;VAUPES;97001;MITU;970,008;Rural;CAÑO PIRABOTÓN Y RÍO QUERARY;RÍO VAUPÉS;PAÍS BRASIL;MPIO. PAPUNAUA Y CARURU;-70-4617874954645;1-23256051405156;Sin Informacion de Barrios;Sin Informacion de Veredas
50;META;50330;MESETAS;505,008;Rural;RÍO PEÑAS;MPIO. URIBE Y VISTAHERMOSA;MPIO. VISTAHERMOSA Y SAN J. DE ARAMA;MUNICIPIO URIBE;-74-1259316676713;3-00988607954281;Sin Informacion de Barrios;Sin Informacion de Veredas
13;BOLIVAR;13647;SAN ESTANISLAO;130,547;Rural;M. VILLANUEVA Y REPELÓN;MPIO. ARJONA Y MAHATES;MUNICIPIO SOPLAVIENTO;MPIO. VILLANUEVA Y TURBACO;-75-2055937934843;10-3653550654634;Sin Informacion de Barrios;Sin Informacion de Veredas
15;BOYACA;15753;SOATA;151,007;Rural;MPIO. TIPACOQUE;MUNICIPIO SUSACÓN;MUNICIPIO BOAVITA;MUNICIPIO ONZAGA;-72-6909570354373;6-32511598037217;Sin Informacion de Barrios;Cabecera Municipal- Cañabravo-  Centro-  Centro-  El Espinal-  El Espinal-  La Chorrera-  Llano Grande-  LLanoGrande
25;CUNDINAMARCA;25754;SOACHA;250,052;Urbano;TV 7  Y  KR 7;RIO BOGOTÁ;AU SUR;RIO BOGOTÁ;-74-2376255820562;4-57160544224985;Abc Santa Ana- Arizona- Atenea- Buenos Aires- Ciudad de Quito- Ciudad Latina I- Ciudad Latina II- Ciudad Latina III- Ciudad Satélite- Cobeg- Compartir- Conviva I- Conviva II- El Cedro- El Salitre- El Vivero- Hospital Geriátrico- La Fontana I- La Fontana I;Sin Informacion de Veredas
52;NARIÑO;52001;PASTO;520,029;Rural;VIA PASTO - MOTILON;RIO PERMANENTE;RELIEVE MONTAÑOSO;RIO PERMANENTE;-77-2319729519343;1-08691564289728;Sin Informacion de Barrios;Sin Informacion de Veredas
68;SANTANDER;68276;FLORIDABLANCA;681,001;Urbano;CL  101;CL 121;LIMITE URBANO;KR 33 Y AV F/BLANC;-73-0984694511033;7-08927315409699;Alares- Altoviento 1- Altoviento 2- Andalucía- Aranjuez- Arrayanes- Balcón de Alares- Belencito- Bellavista- Bosques del Payador- Caldas- Carabelas- Cerros de Las Villas- Ciudad Jardín- Colón- El Dorado- El Oasis- El Reposo- Fátima- Hacienda San Juan- Hog;Sin Informacion de Veredas
