nombre_comuna;barrio
COMUNA EL OSO;ALEJANDRIA
COMUNA EL OSO;ALTOS DE PANORAMA
COMUNA EL OSO;CINCO DE OCTUBRE
COMUNA EL OSO;EL ACUARIO
COMUNA EL OSO;EVEN-EZER
COMUNA EL OSO;GUADALUPE
COMUNA EL OSO;HACIENDA CUBA
COMUNA EL OSO;JAIME PARDO LEAL
COMUNA EL OSO;LA ACUARELA
COMUNA EL OSO;LA BRETAãA
COMUNA EL OSO;LA FLORESTA
COMUNA EL OSO;LA HABANA
COMUNA EL OSO;LA IDALIA
COMUNA EL OSO;LA NUEVA VILLA
COMUNA EL OSO;LIBERTADOR I
COMUNA EL OSO;LIBERTADOR II
COMUNA EL OSO;LOS CRISTALES
COMUNA EL OSO;LOS PINOS
COMUNA EL OSO;MIRADOR DE PANORAMA I
COMUNA EL OSO;MIRADOR DE PANORAMA II
COMUNA EL OSO;MIRADOR DE PANORAMA III
COMUNA EL OSO;MONTELIBANO
COMUNA EL OSO;NUEVA COLOMBIA
COMUNA EL OSO;OLIMPIA
COMUNA EL OSO;PORTAL DE LAS MERCEDES
COMUNA EL OSO;SANTA FE
COMUNA EL OSO;SAUCES I
COMUNA EL OSO;SAUCES II
COMUNA EL OSO;SAUCES III
COMUNA EL OSO;SAUCES IV
COMUNA EL OSO;SAUCES V
COMUNA EL OSO;TERRANOVA
COMUNA EL OSO;TORRES DE LA ACURELA
COMUNA EL OSO;VILLA DEL BOSQUE
COMUNA EL OSO;VILLA ELISA
COMUNA EL OSO;VILLA DEL SUR
COMUNA EL OSO;VILLA LIGIA III
COMUNA EL OSO;VILLA LIGIA I
COMUNA EL OSO;LOS PRADOS
COMUNA EL OSO;VILLA NAVARRA
COMUNA EL OSO;VISTA HERMOSA
COMUNA CONSOTA;EL ROSAL
COMUNA CONSOTA;LOS NOGALES
COMUNA CONSOTA;EL FUTURO
COMUNA CONSOTA;VILLA ELENA
COMUNA CONSOTA;ANTONIO JOSE DE SUCRE
COMUNA CONSOTA;PORVENIR
COMUNA CONSOTA;RESTREPO
COMUNA CONSOTA;PLAN CAMILO
COMUNA CONSOTA;LA DIVISA
COMUNA CONSOTA;VILLA DE LA PAZ
COMUNA CONSOTA;VENDEDORES
COMUNA CONSOTA;AMBULANTES
COMUNA CONSOTA;VILLA CECILIA
COMUNA CONSOTA;VILLA CONSOTA
COMUNA CONSOTA;NORMANDIA
COMUNA CONSOTA;VILLA ANDREA
COMUNA CONSOTA;DORADO II
COMUNA CONSOTA;LAS PIRAMIDES
COMUNA CONSOTA;QUINTAS DE PANORAMA I
COMUNA CONSOTA;ANTONIO JOSE VALENCIA
COMUNA CONSOTA;SANAI II
COMUNA CONSOTA;DORADO II
COMUNA CONSOTA;QUINTAS DE PANORAMA II
COMUNA CONSOTA;NARANJITO
COMUNA CONSOTA;AGUAS CLARAS
COMUNA CONSOTA;BELLA SARDI
COMUNA CONSOTA;MIRAFLORES
COMUNA CONSOTA;MIRADOS DE BELLA SARDI
COMUNA CONSOTA;EL DORADO
COMUNA OLIMPICA;VILLA ALICIA
COMUNA OLIMPICA;ALCAZARES
COMUNA OLIMPICA;CA„AVERAL
COMUNA OLIMPICA;SECTOR CC. UNICENTRO CUBA
COMUNA OLIMPICA;SENDEROS DE UNICENTRO
COMUNA OLIMPICA;RINCO DE UNICENTRO
COMUNA OLIMPICA;LA VILLA
COMUNA OLIMPICA;LOS ARREVOLES
COMUNA OLIMPICA;CORALES
COMUNA OLIMPICA;NOGALES
COMUNA OLIMPICA;MIRADOR DE LA CIEN
COMUNA OLIMPICA;MULTIFAMILIAR LA VILLA
COMUNA OLIMPICA;OLIMPICO I
COMUNA OLIMPICA;OLIMPICO II
COMUNA OLIMPICA;GAMMA I
COMUNA OLIMPICA;GAMMA I
COMUNA OLIMPICA;GAMMA III
COMUNA OLIMPICA;GAMMA IV
COMUNA OLIMPICA;GAMMA V
COMUNA OLIMPICA;LA GLORIETA
COMUNA OLIMPICA;JARDINES DE LA VILLA
COMUNA OLIMPICA;PINAR DE GAMMA
COMUNA OLIMPICA;PINAR DE BELMONTE
COMUNA OLIMPICA;RESERVA DE LA VILLA
COMUNA OLIMPICA;RINCON DE LA PALMA
COMUNA OLIMPICA;RINCON DE LA VILLA
COMUNA OLIMPICA;SAMANES DE BELMONTE
COMUNA OLIMPICA;SAN FELIPE
COMUNA OLIMPICA;SANTA CRUZ DE GAMMA
COMUNA OLIMPICA;SANTA MONICA
COMUNA OLIMPICA;TOLUCA
COMUNA OLIMPICA;VILLA ALICIA
COMUNA OLIMPICA;VILLAS DE LA MADRID
COMUNA OLIMPICA;COLORES DE LA VILLA
COMUNA OLIMPICA;FEGOVE
COMUNA OLIMPICA;ALHAMBRA
COMUNA OLIMPICA;ALCAZARES
COMUNA OLIMPICA;ALFA
COMUNA OLIMPICA;ALTOS DE BELMONTE
COMUNA OLIMPICA;BELMONTE
